gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
Male,0,19,25.17,478.23,1
Female,0,21,41.1,863.1,0
Male,0,22,27.43,603.46,0
Male,0,9,48.89,440.01,0
Female,0,9,82.74,744.66,0
Male,0,27,76.62,2068.74,1
Female,0,17,81.21,1380.57,0
Female,0,44,74.93,3296.92,0
Female,1,45,47.3,2128.5,1
Female,1,8,44.45,355.6,0
Female,0,18,33.71,606.78,0
Female,0,33,104.91,3462.03,0
Female,0,1,81.65,81.65,0
Female,0,6,38.65,231.9,0
Female,0,41,37.72,1546.52,0
Female,0,55,107.3,5901.5,1
Female,0,5,94.27,471.35,0
Male,0,59,85.94,5070.46,1
Male,0,18,60.69,1092.42,0
Female,0,49,46.2,2263.8,0
Female,0,65,117.95,7666.75,0
Female,0,54,99.72,5384.88,0
Female,0,61,50.18,3060.98,1
Female,0,8,104.76,838.08,0
Female,0,3,95.89,287.67,0
Female,0,25,49.71,1242.75,0
Female,0,69,62.66,4323.54,0
Male,0,55,38.6,2123.0,0
Female,1,40,31.11,1244.4,0
Male,0,50,92.28,4614.0,0
Female,0,33,46.75,1542.75,0
Female,0,18,102.01,1836.18,0
Male,0,57,119.56,6814.92,0
Female,0,16,27.66,442.56,0
Male,0,38,67.3,2557.4,1
Female,0,41,100.21,4108.61,0
Female,1,7,98.9,692.3000000000001,0
Male,0,53,96.0,5088.0,0
Female,0,63,54.9,3458.7,1
Male,1,32,65.39,2092.48,0
Female,0,38,79.5,3021.0,1
Male,1,22,117.39,2582.58,0
Male,0,16,52.75,844.0,0
Female,1,52,112.31,5840.12,0
Female,0,29,46.94,1361.26,1
Male,0,16,118.91,1902.56,0
Female,0,17,87.03,1479.51,0
Female,0,64,66.35,4246.4,0
Female,0,13,81.34,1057.42,0
Male,0,56,47.25,2646.0,1
Male,0,5,47.42,237.1,0
Male,0,12,31.36,376.32,1
Male,0,41,31.41,1287.81,0
Male,0,3,54.77,164.31,0
Male,1,33,96.29,3177.57,0
Male,0,50,80.8,4040.0,0
Male,1,56,30.26,1694.5600000000002,0
Male,0,9,105.22,946.98,0
Female,0,50,80.14,4007.0,0
Male,0,29,116.09,3366.61,0
Female,0,39,87.02,3393.78,0
Female,0,45,37.52,1688.4,0
Female,0,17,67.38,1145.46,0
Male,0,56,84.85,4751.599999999999,0
Male,1,46,22.83,1050.1799999999998,0
Male,0,67,21.49,1439.83,1
Male,0,69,32.94,2272.86,0
Female,0,14,45.17,632.38,1
Male,0,67,62.95,4217.650000000001,0
Male,0,23,68.74,1581.02,0
Male,0,61,33.8,2061.8,0
Male,0,23,87.34,2008.82,0
Male,0,27,79.61,2149.47,0
Female,0,54,49.45,2670.3,0
Male,1,10,21.37,213.7,0
Female,1,16,27.76,444.16,0
Male,0,41,59.17,2425.9700000000003,0
Female,0,55,35.4,1947.0,0
Male,0,61,57.68,3518.48,0
Male,1,49,82.82,4058.18,0
Female,0,52,74.72,3885.44,0
Female,0,2,43.12,86.24,0
Female,0,50,54.38,2719.0,0
Male,0,43,81.4,3500.2000000000003,0
Female,0,8,106.09,848.72,0
Male,0,59,95.32,5623.879999999999,0
Male,0,65,75.34,4897.1,0
Female,0,12,56.23,674.76,0
Female,0,4,56.51,226.04,0
Male,0,41,107.94,4425.54,1
Male,0,7,23.92,167.44,1
Female,0,69,118.8,8197.199999999999,1
Female,1,69,86.44,5964.36,1
Female,0,30,88.11,2643.3,0
Male,0,6,23.8,142.8,0
Male,0,19,80.55,1530.45,0
Male,0,66,68.48,4519.68,0
Male,0,10,30.58,305.79999999999995,0
Male,0,16,47.79,764.64,0
Male,1,37,109.03,4034.11,0
Female,0,32,75.0,2400.0,0
Male,0,47,61.34,2882.98,0
Male,0,43,27.27,1172.61,1
Male,0,36,91.41,3290.76,1
Female,0,26,90.29,2347.54,0
Male,0,10,81.4,814.0,0
Male,0,31,71.03,2201.93,1
Female,0,29,63.38,1838.02,1
Male,0,5,79.33,396.65,1
Male,0,1,43.34,43.34,0
Male,0,3,114.13,342.39,0
Male,0,67,78.88,5284.96,0
Male,1,71,51.12,3629.52,1
Female,0,35,64.97,2273.95,0
Female,0,15,100.57,1508.55,1
Female,0,67,36.16,2422.72,0
Male,0,30,49.28,1478.4,1
Male,0,43,87.95,3781.85,0
Male,0,60,51.55,3093.0,0
Female,1,40,99.25,3970.0,0
Male,0,65,33.05,2148.25,0
Male,0,29,96.27,2791.83,0
Female,0,19,26.84,509.96,1
Male,1,3,21.26,63.78,0
Female,0,36,109.82,3953.52,0
Female,0,43,78.13,3359.59,0
Female,0,15,55.18,827.7,0
Male,0,41,43.26,1773.66,0
Male,0,36,81.69,2940.84,0
Male,0,33,70.9,2339.7000000000003,1
Male,0,5,119.16,595.8,0
Male,0,14,118.32,1656.48,1
Male,0,68,83.5,5678.0,0
Male,0,47,64.29,3021.63,0
Female,0,54,69.11,3731.94,1
Male,1,4,88.25,353.0,0
Female,1,9,30.16,271.44,0
Male,0,53,52.84,2800.52,0
Male,1,60,27.53,1651.8000000000002,1
Male,0,46,27.34,1257.64,0
Female,0,54,39.58,2137.32,0
Female,0,37,68.53,2535.61,0
Female,0,23,98.48,2265.04,0
Female,0,27,68.55,1850.85,1
Male,0,70,53.55,3748.5,0
Female,0,66,28.24,1863.84,0
Male,0,61,75.03,4576.83,0
Male,0,51,47.13,2403.63,1
Female,0,50,81.49,4074.5,0
Female,0,19,117.72,2236.68,0
Female,0,1,31.13,31.13,0
Female,1,40,41.21,1648.4,0
Female,1,32,67.31,2153.92,0
Female,0,22,116.86,2570.92,0
Female,1,66,97.18,6413.88,1
Female,0,40,109.82,4392.799999999999,0
Male,1,38,53.37,2028.06,0
Female,0,48,119.2,5721.6,0
Female,0,55,30.28,1665.4,1
Male,0,55,25.3,1391.5,0
Female,0,51,105.56,5383.56,0
Male,0,60,112.73,6763.8,1
Male,0,8,29.06,232.48,0
Female,0,68,31.34,2131.12,0
Male,0,9,23.32,209.88,1
Male,0,2,30.45,60.9,0
Male,1,70,40.94,2865.8,0
Male,0,59,117.01,6903.59,0
Female,0,19,86.79,1649.0100000000002,1
Male,0,28,97.86,2740.08,0
Female,0,14,97.61,1366.54,0
Male,0,24,73.51,1764.2400000000002,0
Male,1,44,99.75,4389.0,0
Male,0,56,79.58,4456.48,0
Male,0,51,51.45,2623.9500000000003,1
Female,1,32,76.11,2435.52,0
Female,0,50,73.35,3667.5,0
Male,0,41,102.35,4196.349999999999,0
Male,0,66,118.17,7799.22,0
Female,0,25,61.1,1527.5,0
Male,0,61,96.34,5876.74,0
Male,0,66,29.98,1978.68,0
Male,0,42,97.68,4102.56,0
Female,1,65,57.14,3714.1,1
Female,0,36,23.94,861.84,0
Female,0,9,56.32,506.88,0
Male,0,36,81.06,2918.16,0
Male,0,38,31.93,1213.34,0
Female,0,33,112.4,3709.2,0
Female,0,42,27.77,1166.34,0
Female,1,61,113.0,6893.0,0
Female,0,46,90.71,4172.66,0
Male,0,61,52.97,3231.17,1
Female,0,18,59.08,1063.44,0
Male,0,70,94.08,6585.599999999999,0
Female,0,15,80.15,1202.25,0
Male,0,48,87.16,4183.68,1
Female,0,13,58.92,765.96,1
Female,0,43,68.78,2957.54,0
Female,1,60,118.99,7139.4,0
Female,1,57,41.39,2359.23,0
Male,0,71,61.79,4387.09,0
Female,1,17,49.18,836.06,0
Male,0,50,96.51,4825.5,0
Male,1,32,96.4,3084.8,0
Male,0,22,49.24,1083.28,1
Male,1,55,28.14,1547.7,0
Female,1,57,21.14,1204.98,0
Male,0,13,62.75,815.75,0
Male,1,47,61.03,2868.41,0
Male,0,62,118.84,7368.08,1
Female,0,54,66.98,3616.92,0
Female,0,29,45.64,1323.56,0
Female,0,22,109.12,2400.6400000000003,0
Female,0,65,69.11,4492.15,0
Male,0,29,79.92,2317.68,0
Male,1,48,29.57,1419.36,0
Female,0,5,58.29,291.45,0
Male,0,35,114.42,4004.7,0
Male,1,71,78.95,5605.45,0
Male,1,46,54.45,2504.7000000000003,1
Female,1,35,82.57,2889.95,1
Female,0,45,111.04,4996.8,0
Male,1,13,47.4,616.1999999999999,1
Female,0,10,70.51,705.1,1
Female,0,66,115.87,7647.42,0
Female,0,70,37.24,2606.8,1
Female,0,25,91.97,2299.25,0
Female,0,44,81.45,3583.8,0
Male,0,60,87.97,5278.2,0
Female,0,47,55.12,2590.64,0
Male,0,40,51.39,2055.6,0
Male,0,7,88.42,618.94,0
Female,0,46,41.55,1911.3,0
Male,0,23,61.97,1425.31,0
Male,0,46,38.82,1785.72,0
Male,0,13,20.83,270.79,0
Female,0,21,117.01,2457.21,0
Female,1,1,63.17,63.17,0
Male,0,19,116.93,2221.67,1
Female,0,60,34.03,2041.8,0
Female,0,33,78.74,2598.42,1
Female,0,4,40.1,160.4,0
Female,1,3,99.01,297.03000000000003,0
Male,0,52,98.37,5115.24,0
Male,0,28,31.26,875.2800000000001,1
Female,0,70,111.21,7784.7,0
Female,0,70,39.46,2762.2000000000003,1
Male,0,55,81.3,4471.5,0
Male,0,57,118.56,6757.92,0
Female,0,16,108.24,1731.84,1
Male,0,24,115.66,2775.84,0
Female,0,69,54.26,3743.94,1
Female,1,41,30.56,1252.96,0
Male,1,47,38.83,1825.01,1
Male,0,69,70.05,4833.45,1
Female,0,31,99.32,3078.92,1
Female,0,30,35.02,1050.6,1
Male,0,18,85.97,1547.46,0
Female,0,44,52.36,2303.84,0
Male,1,27,54.12,1461.24,0
Female,1,26,86.19,2240.94,1
Male,0,60,66.7,4002.0,0
Male,0,18,101.2,1821.6,0
Male,0,56,35.59,1993.04,0
Female,0,31,98.99,3068.69,0
Female,0,59,26.42,1558.7800000000002,0
Male,0,2,39.41,78.82,1
Female,0,39,85.61,3338.79,0
Male,0,61,105.49,6434.889999999999,0
Male,0,63,45.27,2852.01,0
Female,1,18,52.72,948.96,1
Female,0,17,73.71,1253.07,1
Male,0,39,41.16,1605.2399999999998,0
Female,0,71,101.12,7179.52,0
Female,0,54,97.36,5257.44,1
Male,0,35,34.53,1208.55,0
Male,0,11,66.38,730.18,0
Female,1,61,97.48,5946.280000000001,0
Male,0,44,53.73,2364.12,1
Male,1,68,83.31,5665.08,0
Female,0,25,25.02,625.5,1
Male,0,48,80.87,3881.76,0
Male,0,32,35.27,1128.64,0
Female,0,4,103.06,412.24,0
Female,0,38,55.54,2110.52,0
Male,0,63,48.16,3034.08,0
Male,0,47,104.09,4892.2300000000005,1
Female,1,1,25.01,25.01,1
Female,1,3,59.66,178.98,0
Female,1,62,57.0,3534.0,1
Female,0,64,48.48,3102.72,0
Male,0,17,111.18,1890.06,1
Female,0,62,95.09,5895.58,0
Female,0,35,26.39,923.65,0
Male,0,13,91.47,1189.11,0
Female,0,35,72.73,2545.55,0
Male,0,43,110.09,4733.87,1
Female,0,2,51.29,102.58,0
Female,1,56,77.42,4335.52,0
Female,0,51,70.08,3574.08,1
Male,0,54,68.96,3723.84,0
Male,0,16,65.61,1049.76,0
Female,1,18,40.56,730.08,0
Male,0,7,95.57,668.99,0
Male,0,45,65.13,2930.85,0
Male,1,36,115.85,4170.599999999999,0
Male,1,41,46.08,1889.28,1
Male,0,42,88.27,3707.34,0
Male,0,7,114.07,798.49,0
Female,0,15,86.35,1295.25,0
Female,0,60,107.13,6427.799999999999,0
Male,0,40,102.75,4110.0,0
Female,1,37,56.01,2072.37,0
Female,0,66,80.01,5280.660000000001,0
Female,0,55,35.63,1959.65,0
Female,0,56,73.55,4118.8,1
Male,0,44,43.04,1893.76,0
Female,0,57,94.37,5379.09,0
Female,0,6,72.81,436.86,0
Male,0,32,61.12,1955.84,1
Male,0,18,46.88,843.84,0
Female,0,68,119.87,8151.16,0
Female,0,7,27.17,190.19,0
Female,1,8,24.36,194.88,0
Female,0,64,41.73,2670.72,0
Female,0,7,117.11,819.77,1
Female,0,41,117.92,4834.72,0
Male,0,40,85.49,3419.6,1
Female,0,3,108.01,324.03000000000003,0
Female,0,17,41.4,703.8,1
Male,1,66,117.2,7735.2,1
Male,0,52,34.28,1782.56,1
Male,0,22,30.11,662.42,0
Male,0,4,31.22,124.88,0
Female,1,6,77.31,463.86,0
Female,0,38,98.1,3727.8,0
Female,0,26,56.67,1473.42,0
Female,0,11,117.79,1295.69,0
Female,0,17,63.44,1078.48,1
Female,1,31,35.04,1086.24,0
Male,0,35,66.6,2331.0,0
Female,0,16,87.9,1406.4,0
Male,1,18,103.22,1857.96,1
Male,1,62,65.88,4084.56,1
Female,1,27,79.36,2142.72,1
Male,0,35,46.73,1635.55,0
Female,0,45,84.59,3806.55,0
Male,0,35,118.6,4151.0,0
Female,0,28,24.91,697.48,0
Male,0,9,108.65,977.85,0
Female,0,15,76.23,1143.45,1
Female,0,21,45.21,949.41,1
Female,0,52,115.49,6005.48,0
Female,0,35,68.34,2391.9,0
Female,0,51,53.17,2711.67,0
Male,1,55,38.15,2098.25,0
Male,0,44,44.45,1955.8,0
Male,0,65,103.28,6713.2,0
Female,0,25,81.44,2036.0,0
Male,0,47,111.32,5232.04,0
Female,0,56,43.2,2419.2000000000003,1
Female,0,38,32.11,1220.18,1
Male,0,11,20.61,226.71,1
Male,0,67,70.79,4742.93,1
Female,0,15,119.83,1797.45,0
Male,0,1,89.5,89.5,0
Female,1,7,50.84,355.88,0
Female,1,1,107.69,107.69,0
Female,0,49,98.17,4810.33,1
Female,0,29,21.54,624.66,0
Female,0,26,101.69,2643.94,1
Male,1,45,50.05,2252.25,0
Male,0,71,34.97,2482.87,0
Female,0,12,42.63,511.56000000000006,0
Female,1,32,66.86,2139.52,0
Male,0,20,62.49,1249.8,1
Male,1,51,48.89,2493.39,0
Female,0,36,37.22,1339.92,1
Male,0,67,96.22,6446.74,1
Female,0,1,119.01,119.01,0
Male,1,27,97.78,2640.06,1
Female,1,40,49.59,1983.6,0
Male,0,14,44.48,622.7199999999999,0
Female,0,69,41.77,2882.13,0
Male,0,6,33.67,202.02,1
Male,1,33,75.13,2479.29,0
Female,0,55,80.54,4429.700000000001,0
Male,0,19,90.55,1720.45,0
Female,0,29,88.02,2552.58,0
Male,0,61,49.23,3003.03,0
Female,0,70,53.03,3712.1,0
Male,0,24,88.15,2115.6000000000004,0
Female,0,23,54.94,1263.62,1
Male,1,10,41.26,412.6,0
Female,0,54,57.43,3101.22,0
Male,0,41,47.21,1935.61,0
Female,1,49,28.83,1412.6699999999998,1
Female,0,17,103.01,1751.17,0
Female,0,56,105.31,5897.360000000001,0
Male,0,45,41.98,1889.1,0
Female,1,30,26.48,794.4,1
Male,0,44,93.88,4130.719999999999,0
Female,1,55,41.15,2263.25,0
Male,0,19,59.34,1127.46,0
Female,0,29,26.41,765.89,0
Male,0,2,42.63,85.26,0
Male,1,36,99.29,3574.44,0
Female,0,19,100.44,1908.36,0
Male,1,7,40.71,284.97,1
Male,0,26,53.59,1393.34,0
Female,0,38,33.42,1269.96,1
Male,0,3,27.42,82.26,1
Male,1,66,119.22,7868.519999999999,0
Male,0,71,85.56,6074.76,0
Female,0,43,74.21,3191.03,0
Male,0,62,96.55,5986.099999999999,0
Female,1,71,104.01,7384.71,0
Male,0,24,100.67,2416.08,1
Male,0,39,21.65,844.3499999999999,0
Male,0,68,38.68,2630.24,0
Female,0,44,85.49,3761.56,1
Male,0,5,57.58,287.9,0
Male,1,55,118.25,6503.75,0
Female,1,30,86.54,2596.2000000000003,0
Male,0,29,115.65,3353.8500000000004,0
Female,0,26,40.14,1043.64,1
Female,0,26,106.4,2766.4,0
Male,0,37,52.14,1929.18,1
Female,0,53,118.96,6304.88,0
Male,0,30,35.77,1073.1,1
Female,0,3,71.63,214.89,0
Female,0,43,99.28,4269.04,0
Male,0,7,63.26,442.82,0
Female,0,49,66.81,3273.69,0
Female,0,41,118.64,4864.24,0
Female,0,54,62.53,3376.62,0
Female,0,69,80.41,5548.29,0
Female,0,27,25.45,687.15,0
Male,0,8,104.22,833.76,0
Female,0,32,84.82,2714.24,0
Male,0,64,60.4,3865.6,0
Female,0,10,21.62,216.2,1
Male,0,13,79.17,1029.21,0
Male,1,63,21.27,1340.01,0
Female,0,35,20.12,704.2,0
Female,0,61,81.61,4978.21,0
Female,0,54,38.9,2100.6,0
Male,0,8,39.19,313.52,0
Female,0,29,85.33,2474.57,0
Male,0,41,25.37,1040.17,0
Male,0,30,51.34,1540.2,0
Male,0,21,34.94,733.74,0
Female,0,11,78.02,858.2199999999999,0
Female,0,2,86.18,172.36,1
Male,1,50,92.11,4605.5,0
Male,0,41,45.52,1866.32,0
Female,0,66,28.92,1908.72,0
Male,0,3,27.87,83.61,0
Female,1,51,62.62,3193.62,0
Male,0,68,114.58,7791.44,0
Female,0,25,41.77,1044.25,0
Male,0,30,45.67,1370.1,0
Female,0,11,30.09,330.99,0
Male,0,17,80.56,1369.52,0
Female,0,26,87.99,2287.74,0
Female,0,23,84.29,1938.67,0
Male,0,56,106.11,5942.16,0
Male,0,52,68.64,3569.28,0
Female,0,48,33.45,1605.6,1
Male,0,20,48.94,978.8,0
Female,0,2,86.24,172.48,0
Male,0,31,81.31,2520.61,0
Female,1,27,73.1,1973.7,1
Female,0,2,88.3,176.6,0
Female,0,4,83.74,334.96,1
Female,0,13,108.13,1405.69,0
Female,1,35,78.6,2751.0,0
Female,0,66,97.86,6458.76,0
Male,0,6,44.87,269.22,0
Male,0,31,87.82,2722.42,0
Male,0,10,110.22,1102.2,1
Female,0,21,58.57,1229.97,0
Female,0,23,97.91,2251.93,0
Female,0,3,92.48,277.44,0
Female,1,32,25.95,830.4,0
Male,0,20,78.15,1563.0,0
Male,0,29,33.02,957.58,0
Female,0,52,116.73,6069.96,0
Male,0,46,101.14,4652.44,0
Male,0,34,30.97,1052.98,0
Female,0,61,32.18,1962.98,1
Male,0,71,79.45,5640.95,0
Female,1,70,54.49,3814.3,0
Male,1,11,23.49,258.39,1
Female,0,63,74.16,4672.08,1
Female,0,21,58.78,1234.38,1
Female,1,3,30.11,90.33,0
Female,0,10,100.19,1001.9,0
Male,1,27,111.51,3010.77,0
Female,0,12,95.66,1147.92,1
Female,0,7,102.24,715.68,0
Female,0,17,41.65,708.05,0
Male,0,65,46.36,3013.4,1
Female,0,64,40.85,2614.4,0
Male,0,26,96.51,2509.26,0
Female,0,15,114.79,1721.85,0
Male,0,33,91.68,3025.44,0
Male,0,62,108.15,6705.3,0
Female,1,47,83.87,3941.89,0
Male,0,35,58.77,2056.9500000000003,1
Female,1,65,62.58,4067.7,1
Female,0,25,27.53,688.25,0
Female,0,57,23.15,1319.55,0
Male,1,32,89.55,2865.6,1
Male,0,63,63.84,4021.92,1
Female,0,12,75.22,902.64,0
Female,0,63,75.77,4773.509999999999,0
Male,0,1,47.74,47.74,0
Female,0,51,67.59,3447.09,0
Female,1,70,67.08,4695.599999999999,1
Female,0,8,58.84,470.72,0
Male,0,68,102.07,6940.759999999999,1
Male,0,5,65.12,325.6,0
Male,0,39,80.36,3134.04,1
Female,0,23,109.55,2519.65,0
Female,0,68,106.62,7250.16,0
Female,0,52,109.04,5670.08,0
Male,0,4,47.0,188.0,1
Female,0,47,23.5,1104.5,0
Female,0,21,46.11,968.31,0
Female,0,56,47.87,2680.72,0
Female,0,66,110.94,7322.04,0
Male,1,59,84.92,5010.28,0
Male,0,7,28.17,197.19,0
Female,0,49,33.54,1643.46,0
Male,0,16,35.57,569.12,0
Male,0,17,83.04,1411.68,1
Female,0,34,93.54,3180.36,1
Female,0,33,105.96,3496.68,0
Male,0,26,114.06,2965.56,0
Female,0,66,40.17,2651.2200000000003,0
Male,0,63,50.98,3211.74,0
Female,0,41,44.03,1805.23,0
Male,0,58,55.88,3241.04,0
Female,0,10,111.47,1114.7,0
Male,1,15,77.51,1162.65,0
Male,1,42,93.82,3940.44,0
Male,1,57,69.01,3933.57,0
Female,1,17,22.89,389.13,0
Male,1,60,26.42,1585.2,0
Male,0,9,73.79,664.11,0
Female,0,36,91.88,3307.68,0
Female,0,36,41.53,1495.08,0
Male,0,48,92.19,4425.12,1
Male,0,51,101.07,5154.57,1
Female,0,70,61.19,4283.3,0
Female,0,68,94.64,6435.52,0
Female,0,22,60.4,1328.8,0
Female,1,6,87.84,527.04,0
Female,0,26,96.4,2506.4,0
Male,0,3,119.19,357.57,1
Female,0,52,54.54,2836.08,0
Male,0,60,61.1,3666.0,0
Male,1,63,36.56,2303.28,1
Male,0,65,40.41,2626.65,0
Female,0,52,89.34,4645.68,0
Male,0,14,111.7,1563.8,0
Male,0,68,59.46,4043.28,0
Female,0,28,37.98,1063.4399999999998,1
Male,0,71,48.51,3444.21,0
Male,0,10,65.51,655.1,0
Female,0,57,49.07,2796.99,1
Male,0,66,43.36,2861.76,0
Male,1,50,93.6,4680.0,1
Male,0,14,20.78,290.92,0
Female,1,16,73.92,1182.72,1
Female,0,54,99.38,5366.52,0
Female,0,43,46.62,2004.66,0
Male,0,42,80.33,3373.86,0
Male,0,22,86.89,1911.58,0
Female,0,68,85.5,5814.0,0
Male,0,19,64.58,1227.02,0
Male,0,66,54.66,3607.56,1
Female,1,39,103.59,4040.01,0
Female,0,19,95.84,1820.96,0
Male,0,16,52.13,834.08,0
Male,0,54,30.3,1636.2,0
Male,0,25,27.18,679.5,1
Female,0,18,29.43,529.74,0
Female,0,23,78.29,1800.67,0
Female,0,11,25.17,276.87,1
Female,0,39,53.69,2093.91,0
Male,0,68,95.32,6481.759999999999,0
Female,0,25,49.43,1235.75,0
Female,1,63,96.33,6068.79,1
Female,1,30,94.55,2836.5,0
Female,0,45,44.58,2006.1,0
Female,0,61,92.88,5665.679999999999,0
Male,0,51,94.78,4833.78,0
Male,0,9,59.75,537.75,0
Female,0,2,41.04,82.08,1
Male,0,5,72.13,360.65,0
Female,0,62,112.14,6952.68,0
Female,0,69,83.96,5793.24,1
Male,0,52,37.29,1939.08,0
Male,1,5,88.28,441.4,0
Female,0,59,62.72,3700.48,0
Female,0,68,79.15,5382.200000000001,0
Female,1,9,93.41,840.6899999999999,0
Male,1,22,71.49,1572.78,0
Female,0,27,101.4,2737.8,0
Female,0,10,92.22,922.2,1
Female,0,61,81.51,4972.110000000001,0
Male,1,51,35.08,1789.08,1
Female,1,10,103.59,1035.9,0
Female,0,6,113.59,681.54,0
Male,0,62,33.7,2089.4,0
Female,0,5,68.82,344.1,0
Female,0,70,45.89,3212.3,1
Male,0,63,95.45,6013.35,0
Female,1,56,92.16,5160.96,0
Male,0,59,34.09,2011.31,0
Male,1,63,107.7,6785.1,0
Female,1,59,38.1,2247.9,0
Female,0,51,99.73,5086.2300000000005,1
Female,0,50,65.7,3285.0,0
Female,0,4,52.83,211.32,1
Male,0,48,35.82,1719.36,1
Female,0,32,36.76,1176.32,0
Male,0,51,86.19,4395.69,0
Female,0,52,75.04,3902.08,0
Female,0,34,32.21,1095.14,0
Female,0,36,31.27,1125.72,0
Male,0,70,27.23,1906.1,0
Female,0,43,94.38,4058.34,0
Female,0,16,91.19,1459.04,1
Female,0,59,25.84,1524.56,0
Female,0,53,76.03,4029.59,0
Male,0,19,28.47,540.93,0
Female,0,41,110.37,4525.17,1
Male,0,47,110.71,5203.37,0
Male,0,54,89.82,4850.28,0
Male,1,55,112.62,6194.1,0
Male,0,19,101.15,1921.85,1
Male,0,62,102.85,6376.7,1
Male,0,59,76.97,4541.23,0
Female,0,65,50.61,3289.65,0
Male,0,68,41.78,2841.04,0
Male,0,28,52.72,1476.16,0
Male,0,18,82.85,1491.3,1
Female,0,26,37.27,969.02,0
Female,0,19,45.86,871.34,0
Male,0,55,66.81,3674.55,0
Female,0,57,43.31,2468.67,0
Male,1,6,78.86,473.16,0
Male,0,1,112.32,112.32,0
Female,0,8,94.81,758.48,0
Male,0,51,86.64,4418.64,0
Female,0,25,78.27,1956.75,1
Female,0,47,68.79,3233.13,0
Male,0,55,38.66,2126.3,0
Male,0,64,109.47,7006.08,0
Female,0,10,44.85,448.5,1
Male,0,56,29.13,1631.28,0
Male,0,12,95.0,1140.0,1
Male,1,33,37.56,1239.48,1
Female,0,71,57.19,4060.49,0
Female,0,17,22.83,388.11,0
Male,0,61,33.71,2056.31,0
Female,0,10,37.32,373.2,0
Female,0,31,25.44,788.64,0
Female,0,60,85.67,5140.2,1
Female,0,70,103.7,7259.0,0
Female,0,17,57.33,974.61,0
Male,0,50,107.46,5373.0,0
Male,0,37,41.33,1529.21,1
Male,1,62,52.54,3257.48,1
Female,0,29,35.07,1017.03,0
Female,0,32,82.06,2625.92,0
Male,0,11,61.99,681.89,0
Female,0,6,81.33,487.98,0
Male,0,35,96.17,3365.9500000000003,1
Male,0,33,74.57,2460.81,0
Male,0,18,82.76,1489.68,1
Female,0,37,113.53,4200.61,0
