gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,is_long_term,avg_monthly_spend,high_value,senior_high_value,tenure_group
Female,0,1,81.65,81.65,0,0,80.84158415841584,0,0,0-12
Female,0,6,38.65,231.9,0,0,38.58569051580699,0,0,0-12
Female,0,41,37.72,1546.52,0,1,37.71080224335528,0,0,25-48
Female,0,55,107.3,5901.5,1,1,107.28049445555354,1,0,49-72
Female,0,5,94.27,471.35,0,0,94.08183632734531,1,0,0-12
Male,0,59,85.94,5070.46,1,1,85.9254363667175,0,0,49-72
Male,0,18,60.69,1092.42,0,0,60.65630205441421,0,0,13-24
Female,0,49,46.2,2263.8,0,1,46.19057335237707,0,0,49-72
Female,0,65,117.95,7666.75,0,1,117.93185663744039,1,0,49-72
Female,0,54,99.72,5384.88,0,1,99.70153675245325,1,0,49-72
Female,0,61,50.18,3060.98,1,1,50.17177511883298,0,0,49-72
Female,0,8,104.76,838.08,0,0,104.62921348314607,1,0,0-12
Female,0,3,95.89,287.67,0,0,95.57142857142858,1,0,0-12
Female,0,25,49.71,1242.75,0,1,49.69012395041983,0,0,25-48
Female,0,69,62.66,4323.54,0,1,62.650920156499055,0,0,49-72
Male,0,55,38.6,2123.0,0,1,38.592983093982916,0,0,49-72
Female,1,40,31.11,1244.4,0,1,31.102224443889032,0,0,25-48
Male,0,50,92.28,4614.0,0,1,92.26154769046191,1,0,49-72
Female,0,33,46.75,1542.75,0,1,46.73583762496214,0,0,25-48
Female,0,18,102.01,1836.18,0,0,101.95335924486396,1,0,13-24
Male,0,57,119.56,6814.92,0,1,119.53902824065953,1,0,49-72
Female,0,16,27.66,442.56,0,0,27.642723297938787,0,0,13-24
Male,0,38,67.3,2557.4,1,1,67.28229413312287,0,0,25-48
Female,0,41,100.21,4108.61,0,1,100.18556449646428,1,0,25-48
Female,1,7,98.9,692.3000000000001,0,0,98.75891583452213,1,1,0-12
Male,0,53,96.0,5088.0,0,1,95.98189020939446,1,0,49-72
Female,0,63,54.9,3458.7,1,1,54.891287097286146,0,0,49-72
Male,1,32,65.39,2092.48,0,1,65.36957200874727,0,0,25-48
Female,0,38,79.5,3021.0,1,1,79.47908445146015,0,0,25-48
Male,1,22,117.39,2582.58,0,0,117.33666515220354,1,1,13-24
Male,0,16,52.75,844.0,0,0,52.71705184259837,0,0,13-24
Female,1,52,112.31,5840.12,0,1,112.28840607575466,1,1,49-72
Female,0,29,46.94,1361.26,1,1,46.92381937263013,0,0,25-48
Male,0,16,118.91,1902.56,0,0,118.83572767020611,1,0,13-24
Female,0,17,87.03,1479.51,0,0,86.97883597883597,0,0,13-24
Female,0,64,66.35,4246.4,0,1,66.33963443211996,0,0,49-72
Female,0,13,81.34,1057.42,0,0,81.27747886241353,0,0,13-24
Male,0,56,47.25,2646.0,1,1,47.241564006427424,0,0,49-72
Male,0,5,47.42,237.1,0,0,47.3253493013972,0,0,0-12
Male,0,12,31.36,376.32,1,0,31.333888426311407,0,0,0-12
Male,0,41,31.41,1287.81,0,1,31.402340892465254,0,0,25-48
Male,0,3,54.77,164.31,0,0,54.588039867109636,0,0,0-12
Male,1,33,96.29,3177.57,0,1,96.26083005149955,1,1,25-48
Male,0,50,80.8,4040.0,0,1,80.78384323135373,0,0,49-72
Male,1,56,30.26,1694.5600000000002,0,1,30.254597393322626,0,0,49-72
Male,0,9,105.22,946.98,0,0,105.10321864594896,1,0,0-12
Female,0,50,80.14,4007.0,0,1,80.12397520495901,0,0,49-72
Male,0,29,116.09,3366.61,0,1,116.04998276456394,1,0,25-48
Female,0,39,87.02,3393.78,0,1,86.9976928992566,0,0,25-48
Female,0,45,37.52,1688.4,0,1,37.511664074650085,0,0,25-48
Female,0,17,67.38,1145.46,0,0,67.34038800705467,0,0,13-24
Male,0,56,84.85,4751.599999999999,0,1,84.83485091947865,0,0,49-72
Male,1,46,22.83,1050.1799999999998,0,1,22.825038035209733,0,0,25-48
Male,0,67,21.49,1439.83,1,1,21.486793015967763,0,0,49-72
Male,0,69,32.94,2272.86,0,1,32.93522677872772,0,0,49-72
Female,0,14,45.17,632.38,1,0,45.13775874375446,0,0,13-24
Male,0,67,62.95,4217.650000000001,0,1,62.94060587971945,0,0,49-72
Male,0,23,68.74,1581.02,0,0,68.71012603215992,0,0,13-24
Male,0,61,33.8,2061.8,0,1,33.79445992460253,0,0,49-72
Male,0,23,87.34,2008.82,0,0,87.30204259017817,0,0,13-24
Male,0,27,79.61,2149.47,0,1,79.58052573121066,0,0,25-48
Female,0,54,49.45,2670.3,0,1,49.4408442880948,0,0,49-72
Male,1,10,21.37,213.7,0,0,21.348651348651348,0,0,0-12
Female,1,16,27.76,444.16,0,0,27.74266083697689,0,0,13-24
Male,0,41,59.17,2425.9700000000003,0,1,59.15557181175324,0,0,25-48
Female,0,55,35.4,1947.0,0,1,35.393564806398835,0,0,49-72
Male,0,61,57.68,3518.48,0,1,57.67054581216194,0,0,49-72
Male,1,49,82.82,4058.18,0,1,82.80310140787594,0,0,49-72
Female,0,52,74.72,3885.44,0,1,74.70563353201308,0,0,49-72
Female,0,2,43.12,86.24,0,0,42.90547263681592,0,0,0-12
Female,0,50,54.38,2719.0,0,1,54.36912617476505,0,0,49-72
Male,0,43,81.4,3500.2000000000003,0,1,81.38107416879797,0,0,25-48
Female,0,8,106.09,848.72,0,0,105.95755305867667,1,0,0-12
Male,0,59,95.32,5623.879999999999,0,1,95.30384680562615,1,0,49-72
Male,0,65,75.34,4897.1,0,1,75.3284110136902,0,0,49-72
Female,0,12,56.23,674.76,0,0,56.183180682764366,0,0,0-12
Female,0,4,56.51,226.04,0,0,56.36907730673317,0,0,0-12
Male,0,41,107.94,4425.54,1,1,107.91367959034382,1,0,25-48
Male,0,7,23.92,167.44,1,0,23.885877318116975,0,0,0-12
Female,0,69,118.8,8197.199999999999,1,1,118.78278510360815,1,0,49-72
Female,1,69,86.44,5964.36,1,1,86.42747427908998,0,0,49-72
Female,0,30,88.11,2643.3,0,1,88.08063978673776,0,0,25-48
Male,0,6,23.8,142.8,0,0,23.7603993344426,0,0,0-12
Male,0,19,80.55,1530.45,0,0,80.50762756443976,0,0,13-24
Male,0,66,68.48,4519.68,0,1,68.46962581427056,0,0,49-72
Male,0,10,30.58,305.79999999999995,0,0,30.549450549450544,0,0,0-12
Male,0,16,47.79,764.64,0,0,47.76014990630855,0,0,13-24
Male,1,37,109.03,4034.11,0,1,109.00054039448798,1,1,25-48
Female,0,32,75.0,2400.0,0,1,74.97656982193065,0,0,25-48
Male,0,47,61.34,2882.98,0,1,61.326951712401616,0,0,25-48
Male,0,43,27.27,1172.61,1,1,27.263659614043245,0,0,25-48
Male,0,36,91.41,3290.76,1,1,91.3846153846154,1,0,25-48
Female,0,26,90.29,2347.54,0,1,90.2552864282968,1,0,25-48
Male,0,10,81.4,814.0,0,0,81.31868131868131,0,0,0-12
Male,0,31,71.03,2201.93,1,1,71.00709448564979,0,0,25-48
Female,0,29,63.38,1838.02,1,1,63.35815236125474,0,0,25-48
Male,0,5,79.33,396.65,1,0,79.17165668662675,0,0,0-12
Male,0,1,43.34,43.34,0,0,42.910891089108915,0,0,0-12
Male,0,3,114.13,342.39,0,0,113.75083056478405,1,0,0-12
Male,0,67,78.88,5284.96,0,1,78.86822862259363,0,0,49-72
Male,1,71,51.12,3629.52,1,1,51.11280101394169,0,0,49-72
Female,0,35,64.97,2273.95,0,1,64.95144244501572,0,0,25-48
Female,0,15,100.57,1508.55,1,0,100.50299800133244,1,0,13-24
Female,0,67,36.16,2422.72,0,1,36.15460379047903,0,0,49-72
Male,0,30,49.28,1478.4,1,1,49.26357880706431,0,0,25-48
Male,0,43,87.95,3781.85,0,1,87.92955126714718,0,0,25-48
Male,0,60,51.55,3093.0,0,1,51.54140976503916,0,0,49-72
Female,1,40,99.25,3970.0,0,1,99.22519370157461,1,1,25-48
Male,0,65,33.05,2148.25,0,1,33.044916166743576,0,0,49-72
Male,0,29,96.27,2791.83,0,1,96.23681489141674,1,0,25-48
Female,0,19,26.84,509.96,1,0,26.82588111520252,0,0,13-24
Male,1,3,21.26,63.78,0,0,21.189368770764123,0,0,0-12
Female,0,36,109.82,3953.52,0,1,109.78950291585672,1,0,25-48
Female,0,43,78.13,3359.59,0,1,78.111834457103,0,0,25-48
Female,0,15,55.18,827.7,0,0,55.143237841439046,0,0,13-24
Male,0,41,43.26,1773.66,0,1,43.24945135332846,0,0,25-48
Male,0,36,81.69,2940.84,0,1,81.66731463482367,0,0,25-48
Male,0,33,70.9,2339.7000000000003,1,1,70.87852166010302,0,0,25-48
Male,0,5,119.16,595.8,0,0,118.92215568862275,1,0,0-12
Male,0,14,118.32,1656.48,1,0,118.2355460385439,1,0,13-24
Male,0,68,83.5,5678.0,0,1,83.48772239376562,0,0,49-72
Male,0,47,64.29,3021.63,0,1,64.27632418634333,0,0,25-48
Female,0,54,69.11,3731.94,1,1,69.09720422144048,0,0,49-72
Male,1,4,88.25,353.0,0,0,88.02992518703242,0,0,0-12
Female,1,9,30.16,271.44,0,0,30.126526082130965,0,0,0-12
Male,0,53,52.84,2800.52,0,1,52.83003206942087,0,0,49-72
Male,1,60,27.53,1651.8000000000002,1,1,27.52541243126146,0,0,49-72
Male,0,46,27.34,1257.64,0,1,27.334057813518804,0,0,25-48
Female,0,54,39.58,2137.32,0,1,39.57267172745788,0,0,49-72
Female,0,37,68.53,2535.61,0,1,68.5114833828695,0,0,25-48
Female,0,23,98.48,2265.04,0,0,98.43720121686222,1,0,13-24
Female,0,27,68.55,1850.85,1,1,68.52462051092188,0,0,25-48
Male,0,70,53.55,3748.5,0,1,53.54235109270104,0,0,49-72
Female,0,66,28.24,1863.84,0,1,28.23572186032419,0,0,49-72
Male,0,61,75.03,4576.83,0,1,75.01770201606294,0,0,49-72
Male,0,51,47.13,2403.63,1,1,47.12076063516958,0,0,49-72
Female,0,50,81.49,4074.5,0,1,81.47370525894821,0,0,49-72
Female,0,19,117.72,2236.68,0,0,117.6580746975276,1,0,13-24
Female,0,1,31.13,31.13,0,0,30.82178217821782,0,0,0-12
Female,1,40,41.21,1648.4,0,1,41.19970007498126,0,0,25-48
Female,1,32,67.31,2153.92,0,1,67.2889721961887,0,0,25-48
Female,0,22,116.86,2570.92,0,0,116.80690595184006,1,0,13-24
Female,1,66,97.18,6413.88,1,1,97.1652779881836,1,1,49-72
Female,0,40,109.82,4392.799999999999,0,1,109.79255186203447,1,0,25-48
Male,1,38,53.37,2028.06,0,1,53.355958958168905,0,0,25-48
Female,0,48,119.2,5721.6,0,1,119.17517183920017,1,0,25-48
Female,0,55,30.28,1665.4,1,1,30.27449554626432,0,0,49-72
Male,0,55,25.3,1391.5,0,1,25.2954008362116,0,0,49-72
Female,0,51,105.56,5383.56,0,1,105.53930601842777,1,0,49-72
Male,0,60,112.73,6763.8,1,1,112.71121479753376,1,0,49-72
Male,0,8,29.06,232.48,0,0,29.023720349563046,0,0,0-12
Female,0,68,31.34,2131.12,0,1,31.335391854139093,0,0,49-72
Male,0,9,23.32,209.88,1,0,23.294117647058822,0,0,0-12
Male,0,2,30.45,60.9,0,0,30.29850746268657,0,0,0-12
Male,1,70,40.94,2865.8,0,1,40.93415226396229,0,0,49-72
Male,0,59,117.01,6903.59,0,1,116.99017115743095,1,0,49-72
Female,0,19,86.79,1649.0100000000002,1,0,86.74434508153604,0,0,13-24
Male,0,28,97.86,2740.08,0,1,97.82506247768653,1,0,25-48
Female,0,14,97.61,1366.54,0,0,97.5403283369022,1,0,13-24
Male,0,24,73.51,1764.2400000000002,0,1,73.47938359017077,0,0,13-24
Male,1,44,99.75,4389.0,0,1,99.72733469665985,1,1,25-48
Male,0,56,79.58,4456.48,0,1,79.56579182288877,0,0,49-72
Male,0,51,51.45,2623.9500000000003,1,1,51.439913742403455,0,0,49-72
Female,1,32,76.11,2435.52,0,1,76.08622305529522,0,0,25-48
Female,0,50,73.35,3667.5,0,1,73.33533293341333,0,0,49-72
Male,0,41,102.35,4196.349999999999,0,1,102.32504267251889,1,0,25-48
Male,0,66,118.17,7799.22,0,1,118.1520981669444,1,0,49-72
Female,0,25,61.1,1527.5,0,1,61.07556977209116,0,0,25-48
Male,0,61,96.34,5876.74,0,1,96.32420914604164,1,0,49-72
Male,0,66,29.98,1978.68,0,1,29.97545826389941,0,0,49-72
Male,0,42,97.68,4102.56,0,1,97.65674839323972,1,0,25-48
Female,1,65,57.14,3714.1,1,1,57.13121058298723,0,0,49-72
Female,0,36,23.94,861.84,0,1,23.93335184670925,0,0,25-48
Female,0,9,56.32,506.88,0,0,56.25749167591565,0,0,0-12
Male,0,36,81.06,2918.16,0,1,81.03748958622604,0,0,25-48
Male,0,38,31.93,1213.34,0,1,31.921599579058142,0,0,25-48
Female,0,33,112.4,3709.2,0,1,112.36594971220842,1,0,25-48
Female,0,42,27.77,1166.34,0,1,27.763389669126397,0,0,25-48
Female,1,61,113.0,6893.0,0,1,112.98147844615637,1,1,49-72
Female,0,46,90.71,4172.66,0,1,90.6902847207129,1,0,25-48
Male,0,61,52.97,3231.17,1,1,52.961317816751354,0,0,49-72
Female,0,18,59.08,1063.44,0,0,59.047196002220986,0,0,13-24
Male,0,70,94.08,6585.599999999999,0,1,94.06656191972574,1,0,49-72
Female,0,15,80.15,1202.25,0,0,80.09660226515656,0,0,13-24
Male,0,48,87.16,4183.68,1,1,87.14184544886483,0,0,25-48
Female,0,13,58.92,765.96,1,0,58.874711760184475,0,0,13-24
Female,0,43,68.78,2957.54,0,1,68.76400837014648,0,0,25-48
Female,1,60,118.99,7139.4,0,1,118.97017163806032,1,1,49-72
Female,1,57,41.39,2359.23,0,1,41.382739870198215,0,0,49-72
Male,0,71,61.79,4387.09,0,1,61.78129840867483,0,0,49-72
Female,1,17,49.18,836.06,0,0,49.15108759553203,0,0,13-24
Male,0,50,96.51,4825.5,0,1,96.49070185962807,1,0,49-72
Male,1,32,96.4,3084.8,0,1,96.36988441112153,1,1,25-48
Male,0,22,49.24,1083.28,1,0,49.217628350749656,0,0,13-24
Male,1,55,28.14,1547.7,0,1,28.134884566442466,0,0,49-72
Female,1,57,21.14,1204.98,0,1,21.136291878617786,0,0,49-72
Male,0,13,62.75,815.75,0,0,62.701767870868565,0,0,13-24
Male,1,47,61.03,2868.41,0,1,61.01701765581791,0,0,25-48
Male,0,62,118.84,7368.08,1,1,118.82083534913724,1,0,49-72
Female,0,54,66.98,3616.92,0,1,66.96759859285318,0,0,49-72
Female,0,29,45.64,1323.56,0,1,45.624267493967594,0,0,25-48
Female,0,22,109.12,2400.6400000000003,0,0,109.07042253521128,1,0,13-24
Female,0,65,69.11,4492.15,0,1,69.09936932779571,0,0,49-72
Male,0,29,79.92,2317.68,0,1,79.89245087900723,0,0,25-48
Male,1,48,29.57,1419.36,0,1,29.56384086648615,0,0,25-48
Female,0,5,58.29,291.45,0,0,58.17365269461078,0,0,0-12
Male,0,35,114.42,4004.7,0,1,114.38731790916881,1,0,25-48
Male,1,71,78.95,5605.45,0,1,78.93888184762709,0,0,49-72
Male,1,46,54.45,2504.7000000000003,1,1,54.43816561617041,0,0,25-48
Female,1,35,82.57,2889.95,1,1,82.54641530991145,0,0,25-48
Female,0,45,111.04,4996.8,0,1,111.01532992668297,1,0,25-48
Male,1,13,47.4,616.1999999999999,1,0,47.36356648731744,0,0,13-24
Female,0,10,70.51,705.1,1,0,70.43956043956044,0,0,0-12
Female,0,66,115.87,7647.42,0,1,115.85244659900015,1,0,49-72
Female,0,70,37.24,2606.8,1,1,37.23468075989145,0,0,49-72
Female,0,25,91.97,2299.25,0,1,91.93322670931627,1,0,25-48
Female,0,44,81.45,3583.8,0,1,81.43149284253579,0,0,25-48
Male,0,60,87.97,5278.2,0,1,87.95534077653724,0,0,49-72
Female,0,47,55.12,2590.64,0,1,55.10827483514146,0,0,25-48
Male,0,40,51.39,2055.6,0,1,51.377155711072234,0,0,25-48
Male,0,7,88.42,618.94,0,0,88.2938659058488,0,0,0-12
Female,0,46,41.55,1911.3,0,1,41.540969354488155,0,0,25-48
Male,0,23,61.97,1425.31,0,0,61.94306823120382,0,0,13-24
Male,0,46,38.82,1785.72,0,1,38.81156270376005,0,0,25-48
Male,0,13,20.83,270.79,0,0,20.81398923904689,0,0,13-24
Female,0,21,117.01,2457.21,0,0,116.95430747263207,1,0,13-24
Female,1,1,63.17,63.17,0,0,62.54455445544554,0,0,0-12
Male,0,19,116.93,2221.67,1,0,116.86849026827984,1,0,13-24
Female,0,60,34.03,2041.8,0,1,34.02432927845359,0,0,49-72
Female,0,33,78.74,2598.42,1,1,78.7161466222357,0,0,25-48
Female,0,4,40.1,160.4,0,0,40.0,0,0,0-12
Female,1,3,99.01,297.03000000000003,0,0,98.6810631229236,1,1,0-12
Male,0,52,98.37,5115.24,0,1,98.351086329552,1,0,49-72
Male,0,28,31.26,875.2800000000001,1,1,31.248839700107105,0,0,25-48
Female,0,70,111.21,7784.7,0,1,111.19411512641051,1,0,49-72
Female,0,70,39.46,2762.2000000000003,1,1,39.454363662333954,0,0,49-72
Male,0,55,81.3,4471.5,0,1,81.28522086893292,0,0,49-72
Male,0,57,118.56,6757.92,0,1,118.53920364848273,1,0,49-72
Female,0,16,108.24,1731.84,1,0,108.17239225484072,1,0,13-24
Male,0,24,115.66,2775.84,0,1,115.61182840483131,1,0,13-24
Female,0,69,54.26,3743.94,1,1,54.25213737139545,0,0,49-72
Female,1,41,30.56,1252.96,0,1,30.552548158985616,0,0,25-48
Male,1,47,38.83,1825.01,1,1,38.82174005530738,0,0,25-48
Male,0,69,70.05,4833.45,1,1,70.03984929720329,0,0,49-72
Female,0,31,99.32,3078.92,1,1,99.2879716220574,1,0,25-48
Female,0,30,35.02,1050.6,1,1,35.00833055648117,0,0,25-48
Male,0,18,85.97,1547.46,0,0,85.9222654081066,0,0,13-24
Female,0,44,52.36,2303.84,0,1,52.348102703930934,0,0,25-48
Male,1,27,54.12,1461.24,0,1,54.0999629766753,0,0,25-48
Female,1,26,86.19,2240.94,1,1,86.15686274509804,0,0,25-48
Male,0,60,66.7,4002.0,0,1,66.68888518580236,0,0,49-72
Male,0,18,101.2,1821.6,0,0,101.14380899500276,1,0,13-24
Male,0,56,35.59,1993.04,0,1,35.58364577753972,0,0,49-72
Female,0,31,98.99,3068.69,0,1,98.95807803934214,1,0,25-48
Female,0,59,26.42,1558.7800000000002,0,1,26.415522792746998,0,0,49-72
Male,0,2,39.41,78.82,1,0,39.21393034825871,0,0,0-12
Female,0,39,85.61,3338.79,0,1,85.58805434503974,0,0,25-48
Male,0,61,105.49,6434.889999999999,0,1,105.47270939190297,1,0,49-72
Male,0,63,45.27,2852.01,0,1,45.26281542612284,0,0,49-72
Female,1,18,52.72,948.96,1,0,52.690727373681284,0,0,13-24
Female,0,17,73.71,1253.07,1,0,73.66666666666666,0,0,13-24
Male,0,39,41.16,1605.2399999999998,0,1,41.149448859266855,0,0,25-48
Female,0,71,101.12,7179.52,0,1,101.10575975214758,1,0,49-72
Female,0,54,97.36,5257.44,1,1,97.34197370857248,1,0,49-72
Male,0,35,34.53,1208.55,0,1,34.52013710368466,0,0,25-48
Male,0,11,66.38,730.18,0,0,66.31970935513169,0,0,0-12
Female,1,61,97.48,5946.280000000001,0,1,97.46402229142765,1,1,49-72
Male,0,44,53.73,2364.12,1,1,53.717791411042946,0,0,25-48
Male,1,68,83.31,5665.08,0,1,83.2977503308337,0,0,49-72
Female,0,25,25.02,625.5,1,1,25.009996001599358,0,0,25-48
Male,0,48,80.87,3881.76,0,1,80.85315559258488,0,0,25-48
Male,0,32,35.27,1128.64,0,1,35.25898156825993,0,0,25-48
Female,0,4,103.06,412.24,0,0,102.80299251870325,1,0,0-12
Female,0,38,55.54,2110.52,0,1,55.5253880557748,0,0,25-48
Male,0,63,48.16,3034.08,0,1,48.152356768766865,0,0,49-72
Male,0,47,104.09,4892.2300000000005,1,1,104.06785790257393,1,0,25-48
Female,1,1,25.01,25.01,1,0,24.762376237623762,0,0,0-12
Female,1,3,59.66,178.98,0,0,59.461794019933556,0,0,0-12
Female,1,62,57.0,3534.0,1,1,56.99080793420416,0,0,49-72
Female,0,64,48.48,3102.72,0,1,48.472426183408835,0,0,49-72
Male,0,17,111.18,1890.06,1,0,111.11463844797177,1,0,13-24
Female,0,62,95.09,5895.58,0,1,95.07466537655218,1,0,49-72
Female,0,35,26.39,923.65,0,1,26.38246215367038,0,0,25-48
Male,0,13,91.47,1189.11,0,0,91.39969254419677,1,0,13-24
Female,0,35,72.73,2545.55,0,1,72.70922593544702,0,0,25-48
Male,0,43,110.09,4733.87,1,1,110.06440362706347,1,0,25-48
Female,0,2,51.29,102.58,0,0,51.03482587064677,0,0,0-12
Female,1,56,77.42,4335.52,0,1,77.40617746830924,0,0,49-72
Female,0,51,70.08,3574.08,1,1,70.06626151734955,0,0,49-72
