customerID,gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
CUST-144,Female,0,17,67.38,1145.46,No
CUST-145,Male,0,56,84.85,4751.599999999999,No
CUST-146,Male,1,46,22.83,1050.1799999999998,No
CUST-147,Male,0,67,21.49,1439.83,Yes
CUST-148,Male,0,69,32.94,2272.8599999999997,No
CUST-149,Female,0,14,45.17,632.38,Yes
CUST-150,Male,0,67,62.95,4217.650000000001,No
CUST-151,Male,0,23,68.74,1581.02,No
CUST-152,Male,0,61,33.8,2061.7999999999997,No
CUST-153,Male,0,23,87.34,2008.8200000000002,No
CUST-154,Male,0,27,79.61,2149.47,No
CUST-155,Female,0,54,49.45,2670.3,No
CUST-156,Male,1,10,21.37,213.70000000000002,No
CUST-157,Female,1,16,27.76,444.16,No
CUST-158,Male,0,41,59.17,2425.9700000000003,No
CUST-159,Female,0,55,35.4,1947.0,No
CUST-160,Male,0,61,57.68,3518.48,No
CUST-161,Male,1,49,82.82,4058.18,No
CUST-162,Female,0,52,74.72,3885.44,No
CUST-163,Female,0,2,43.12,86.24,No
CUST-164,Female,0,50,54.38,2719.0,No
CUST-165,Male,0,43,81.4,3500.2000000000003,No
CUST-166,Female,0,8,106.09,848.72,No
CUST-167,Male,0,59,95.32,5623.879999999999,No
CUST-168,Male,0,65,75.34,4897.1,No
CUST-169,Female,0,12,56.23,674.76,No
CUST-170,Female,0,4,56.51,226.04,No
CUST-171,Male,0,41,107.94,4425.54,Yes
CUST-172,Male,0,7,23.92,167.44,Yes
CUST-173,Female,0,69,118.8,8197.199999999999,Yes
CUST-174,Female,1,69,86.44,5964.36,Yes
CUST-175,Female,0,30,88.11,2643.3,No
CUST-176,Male,0,6,23.8,142.8,No
CUST-177,Male,0,19,80.55,1530.45,No
CUST-178,Male,0,66,68.48,4519.68,No
CUST-179,Male,0,10,30.58,305.79999999999995,No
CUST-180,Male,0,16,47.79,764.64,No
CUST-181,Male,1,37,109.03,4034.11,No
CUST-182,Female,0,32,75.0,2400.0,No
CUST-183,Male,0,47,61.34,2882.98,No
CUST-184,Male,0,43,27.27,1172.61,Yes
CUST-185,Male,0,36,91.41,3290.7599999999998,Yes
CUST-186,Female,0,26,90.29,2347.54,No
CUST-187,Male,0,10,81.4,814.0,No
CUST-188,Male,0,31,71.03,2201.93,Yes
CUST-189,Female,0,29,63.38,1838.02,Yes
CUST-190,Male,0,5,79.33,396.65,Yes
CUST-191,Male,0,1,43.34,43.34,No
CUST-192,Male,0,3,114.13,342.39,No
CUST-193,Male,0,67,78.88,5284.96,No
CUST-194,Male,1,71,51.12,3629.52,Yes
CUST-195,Female,0,35,64.97,2273.95,No
CUST-196,Female,0,15,100.57,1508.55,Yes
CUST-197,Female,0,67,36.16,2422.72,No
CUST-198,Male,0,30,49.28,1478.4,Yes
CUST-199,Male,0,43,87.95,3781.85,No
CUST-200,Male,0,60,51.55,3093.0,No
CUST-201,Female,1,40,99.25,3970.0,No
CUST-202,Male,0,65,33.05,2148.25,No
CUST-203,Male,0,29,96.27,2791.83,No
CUST-204,Female,0,19,26.84,509.96,Yes
CUST-205,Male,1,3,21.26,63.78,No
CUST-206,Female,0,36,109.82,3953.5199999999995,No
CUST-207,Female,0,43,78.13,3359.5899999999997,No
CUST-208,Female,0,15,55.18,827.7,No
CUST-209,Male,0,41,43.26,1773.6599999999999,No
CUST-210,Male,0,36,81.69,2940.84,No
CUST-211,Male,0,33,70.9,2339.7000000000003,Yes
CUST-212,Male,0,5,119.16,595.8,No
CUST-213,Male,0,14,118.32,1656.48,Yes
CUST-214,Male,0,68,83.5,5678.0,No
CUST-215,Male,0,47,64.29,3021.63,No
CUST-216,Female,0,54,69.11,3731.94,Yes
CUST-217,Male,1,4,88.25,353.0,No
CUST-218,Female,1,9,30.16,271.44,No
CUST-219,Male,0,53,52.84,2800.52,No
CUST-220,Male,1,60,27.53,1651.8000000000002,Yes
CUST-221,Male,0,46,27.34,1257.64,No
CUST-222,Female,0,54,39.58,2137.3199999999997,No
CUST-223,Female,0,37,68.53,2535.61,No
CUST-224,Female,0,23,98.48,2265.04,No
CUST-225,Female,0,27,68.55,1850.85,Yes
CUST-226,Male,0,70,53.55,3748.5,No
CUST-227,Female,0,66,28.24,1863.84,No
CUST-228,Male,0,61,75.03,4576.83,No
CUST-229,Male,0,51,47.13,2403.63,Yes
CUST-230,Female,0,50,81.49,4074.4999999999995,No
CUST-231,Female,0,19,117.72,2236.68,No
CUST-232,Female,0,1,31.13,31.13,No
CUST-233,Female,1,40,41.21,1648.4,No
CUST-234,Female,1,32,67.31,2153.92,No
CUST-235,Female,0,22,116.86,2570.92,No
CUST-236,Female,1,66,97.18,6413.88,Yes
CUST-237,Female,0,40,109.82,4392.799999999999,No
CUST-238,Male,1,38,53.37,2028.06,No
CUST-239,Female,0,48,119.2,5721.6,No
CUST-240,Female,0,55,30.28,1665.4,Yes
CUST-241,Male,0,55,25.3,1391.5,No
CUST-242,Female,0,51,105.56,5383.56,No
CUST-243,Male,0,60,112.73,6763.8,Yes
CUST-244,Male,0,8,29.06,232.48,No
CUST-245,Female,0,68,31.34,2131.12,No
CUST-246,Male,0,9,23.32,209.88,Yes
CUST-247,Male,0,2,30.45,60.9,No
CUST-248,Male,1,70,40.94,2865.7999999999997,No
CUST-249,Male,0,59,117.01,6903.59,No
CUST-250,Female,0,19,86.79,1649.0100000000002,Yes
CUST-251,Male,0,28,97.86,2740.08,No
CUST-252,Female,0,14,97.61,1366.54,No
CUST-253,Male,0,24,73.51,1764.2400000000002,No
CUST-254,Male,1,44,99.75,4389.0,No
CUST-255,Male,0,56,79.58,4456.48,No
CUST-256,Male,0,51,51.45,2623.9500000000003,Yes
CUST-257,Female,1,32,76.11,2435.52,No
CUST-258,Female,0,50,73.35,3667.4999999999995,No
CUST-259,Male,0,41,102.35,4196.349999999999,No
CUST-260,Male,0,66,118.17,7799.22,No
CUST-261,Female,0,25,61.1,1527.5,No
CUST-262,Male,0,61,96.34,5876.74,No
CUST-263,Male,0,66,29.98,1978.68,No
CUST-264,Male,0,42,97.68,4102.56,No
CUST-265,Female,1,65,57.14,3714.1,Yes
CUST-266,Female,0,36,23.94,861.84,No
CUST-267,Female,0,9,56.32,506.88,No
CUST-268,Male,0,36,81.06,2918.16,No
CUST-269,Male,0,38,31.93,1213.34,No
CUST-270,Female,0,33,112.4,3709.2000000000003,No
CUST-271,Female,0,42,27.77,1166.34,No
CUST-272,Female,1,61,113.0,6893.0,No
CUST-273,Female,0,46,90.71,4172.66,No
CUST-274,Male,0,61,52.97,3231.17,Yes
CUST-275,Female,0,18,59.08,1063.44,No
CUST-276,Male,0,70,94.08,6585.599999999999,No
CUST-277,Female,0,15,80.15,1202.25,No
CUST-278,Male,0,48,87.16,4183.68,Yes
CUST-279,Female,0,13,58.92,765.96,Yes
CUST-280,Female,0,43,68.78,2957.54,No
CUST-281,Female,1,60,118.99,7139.4,No
CUST-282,Female,1,57,41.39,2359.23,No
CUST-283,Male,0,71,61.79,4387.09,No
CUST-284,Female,1,17,49.18,836.06,No
CUST-285,Male,0,50,96.51,4825.5,No
CUST-286,Male,1,32,96.4,3084.8,No
CUST-287,Male,0,22,49.24,1083.28,Yes
CUST-288,Male,1,55,28.14,1547.7,No
CUST-289,Female,1,57,21.14,1204.98,No
CUST-290,Male,0,13,62.75,815.75,No
CUST-291,Male,1,47,61.03,2868.41,No
CUST-292,Male,0,62,118.84,7368.08,Yes
CUST-293,Female,0,54,66.98,3616.92,No
CUST-294,Female,0,29,45.64,1323.56,No
CUST-295,Female,0,22,109.12,2400.6400000000003,No
CUST-296,Female,0,65,69.11,4492.15,No
CUST-297,Male,0,29,79.92,2317.68,No
CUST-298,Male,1,48,29.57,1419.3600000000001,No
CUST-299,Female,0,5,58.29,291.45,No
CUST-300,Male,0,35,114.42,4004.7000000000003,No
CUST-301,Male,1,71,78.95,5605.45,No
CUST-302,Male,1,46,54.45,2504.7000000000003,Yes
CUST-303,Female,1,35,82.57,2889.95,Yes
CUST-304,Female,0,45,111.04,4996.8,No
CUST-305,Male,1,13,47.4,616.1999999999999,Yes
CUST-306,Female,0,10,70.51,705.1,Yes
CUST-307,Female,0,66,115.87,7647.42,No
CUST-308,Female,0,70,37.24,2606.8,Yes
CUST-309,Female,0,25,91.97,2299.25,No
CUST-310,Female,0,44,81.45,3583.8,No
CUST-311,Male,0,60,87.97,5278.2,No
CUST-312,Female,0,47,55.12,2590.64,No
CUST-313,Male,0,40,51.39,2055.6,No
CUST-314,Male,0,7,88.42,618.94,No
CUST-315,Female,0,46,41.55,1911.3,No
CUST-316,Male,0,23,61.97,1425.31,No
CUST-317,Male,0,46,38.82,1785.72,No
CUST-318,Male,0,13,20.83,270.78999999999996,No
CUST-319,Female,0,21,117.01,2457.21,No
CUST-320,Female,1,1,63.17,63.17,No
CUST-321,Male,0,19,116.93,2221.67,Yes
CUST-322,Female,0,60,34.03,2041.8000000000002,No
CUST-323,Female,0,33,78.74,2598.4199999999996,Yes
CUST-324,Female,0,4,40.1,160.4,No
CUST-325,Female,1,3,99.01,297.03000000000003,No
CUST-326,Male,0,52,98.37,5115.24,No
CUST-327,Male,0,28,31.26,875.2800000000001,Yes
CUST-328,Female,0,70,111.21,7784.7,No
CUST-329,Female,0,70,39.46,2762.2000000000003,Yes
CUST-330,Male,0,55,81.3,4471.5,No
CUST-331,Male,0,57,118.56,6757.92,No
CUST-332,Female,0,16,108.24,1731.84,Yes
CUST-333,Male,0,24,115.66,2775.84,No
CUST-334,Female,0,69,54.26,3743.94,Yes
CUST-335,Female,1,41,30.56,1252.96,No
CUST-336,Male,1,47,38.83,1825.01,Yes
CUST-337,Male,0,69,70.05,4833.45,Yes
CUST-338,Female,0,31,99.32,3078.9199999999996,Yes
CUST-339,Female,0,30,35.02,1050.6000000000001,Yes
CUST-340,Male,0,18,85.97,1547.46,No
CUST-341,Female,0,44,52.36,2303.84,No
CUST-342,Male,1,27,54.12,1461.24,No
CUST-343,Female,1,26,86.19,2240.94,Yes
CUST-344,Male,0,60,66.7,4002.0,No
CUST-345,Male,0,18,101.2,1821.6000000000001,No
CUST-346,Male,0,56,35.59,1993.0400000000002,No
CUST-347,Female,0,31,98.99,3068.69,No
CUST-348,Female,0,59,26.42,1558.7800000000002,No
CUST-349,Male,0,2,39.41,78.82,Yes
CUST-350,Female,0,39,85.61,3338.79,No
CUST-351,Male,0,61,105.49,6434.889999999999,No
CUST-352,Male,0,63,45.27,2852.01,No
CUST-353,Female,1,18,52.72,948.96,Yes
CUST-354,Female,0,17,73.71,1253.07,Yes
CUST-355,Male,0,39,41.16,1605.2399999999998,No
CUST-356,Female,0,71,101.12,7179.52,No
CUST-357,Female,0,54,97.36,5257.44,Yes
CUST-358,Male,0,35,34.53,1208.55,No
CUST-359,Male,0,11,66.38,730.18,No
CUST-360,Female,1,61,97.48,5946.280000000001,No
CUST-361,Male,0,44,53.73,2364.12,Yes
CUST-362,Male,1,68,83.31,5665.08,No
CUST-363,Female,0,25,25.02,625.5,Yes
CUST-364,Male,0,48,80.87,3881.76,No
CUST-365,Male,0,32,35.27,1128.64,No
CUST-366,Female,0,4,103.06,412.24,No
CUST-367,Female,0,38,55.54,2110.52,No
CUST-368,Male,0,63,48.16,3034.08,No
CUST-369,Male,0,47,104.09,4892.2300000000005,Yes
CUST-370,Female,1,1,25.01,25.01,Yes
CUST-371,Female,1,3,59.66,178.98,No
CUST-372,Female,1,62,57.0,3534.0,Yes
CUST-373,Female,0,64,48.48,3102.72,No
CUST-374,Male,0,17,111.18,1890.0600000000002,Yes
CUST-375,Female,0,62,95.09,5895.58,No
CUST-376,Female,0,35,26.39,923.65,No
CUST-377,Male,0,13,91.47,1189.11,No
CUST-378,Female,0,35,72.73,2545.55,No
CUST-379,Male,0,43,110.09,4733.87,Yes
CUST-380,Female,0,2,51.29,102.58,No
CUST-381,Female,1,56,77.42,4335.52,No
CUST-382,Female,0,51,70.08,3574.08,Yes
CUST-383,Male,0,54,68.96,3723.8399999999997,No
CUST-384,Male,0,16,65.61,1049.76,No
CUST-385,Female,1,18,40.56,730.08,No
CUST-386,Male,0,7,95.57,668.99,No
CUST-387,Male,0,45,65.13,2930.85,No
CUST-388,Male,1,36,115.85,4170.599999999999,No
CUST-389,Male,1,41,46.08,1889.28,Yes
CUST-390,Male,0,42,88.27,3707.3399999999997,No
CUST-391,Male,0,7,114.07,798.49,No
CUST-392,Female,0,15,86.35,1295.25,No
CUST-393,Female,0,60,107.13,6427.799999999999,No
CUST-394,Male,0,40,102.75,4110.0,No
CUST-395,Female,1,37,56.01,2072.37,No
CUST-396,Female,0,66,80.01,5280.660000000001,No
CUST-397,Female,0,55,35.63,1959.65,No
CUST-398,Female,0,56,73.55,4118.8,Yes
CUST-399,Male,0,44,43.04,1893.76,No
CUST-400,Female,0,57,94.37,5379.09,No
CUST-401,Female,0,6,72.81,436.86,No
CUST-402,Male,0,32,61.12,1955.84,Yes
CUST-403,Male,0,18,46.88,843.84,No
CUST-404,Female,0,68,119.87,8151.16,No
CUST-405,Female,0,7,27.17,190.19,No
CUST-406,Female,1,8,24.36,194.88,No
CUST-407,Female,0,64,41.73,2670.72,No
CUST-408,Female,0,7,117.11,819.77,Yes
CUST-409,Female,0,41,117.92,4834.72,No
CUST-410,Male,0,40,85.49,3419.6,Yes
CUST-411,Female,0,3,108.01,324.03000000000003,No
CUST-412,Female,0,17,41.4,703.8,Yes
CUST-413,Male,1,66,117.2,7735.2,Yes
CUST-414,Male,0,52,34.28,1782.56,Yes
CUST-415,Male,0,22,30.11,662.42,No
CUST-416,Male,0,4,31.22,124.88,No
CUST-417,Female,1,6,77.31,463.86,No
CUST-418,Female,0,38,98.1,3727.7999999999997,No
CUST-419,Female,0,26,56.67,1473.42,No
CUST-420,Female,0,11,117.79,1295.69,No
CUST-421,Female,0,17,63.44,1078.48,Yes
CUST-422,Female,1,31,35.04,1086.24,No
CUST-423,Male,0,35,66.6,2331.0,No
CUST-424,Female,0,16,87.9,1406.4,No
CUST-425,Male,1,18,103.22,1857.96,Yes
CUST-426,Male,1,62,65.88,4084.5599999999995,Yes
CUST-427,Female,1,27,79.36,2142.72,Yes
CUST-428,Male,0,35,46.73,1635.55,No
CUST-429,Female,0,45,84.59,3806.55,No
CUST-430,Male,0,35,118.6,4151.0,No
CUST-431,Female,0,28,24.91,697.48,No
CUST-432,Male,0,9,108.65,977.85,No
CUST-433,Female,0,15,76.23,1143.45,Yes
CUST-434,Female,0,21,45.21,949.41,Yes
CUST-435,Female,0,52,115.49,6005.48,No
CUST-436,Female,0,35,68.34,2391.9,No
CUST-437,Female,0,51,53.17,2711.67,No
CUST-438,Male,1,55,38.15,2098.25,No
CUST-439,Male,0,44,44.45,1955.8000000000002,No
CUST-440,Male,0,65,103.28,6713.2,No
CUST-441,Female,0,25,81.44,2036.0,No
CUST-442,Male,0,47,111.32,5232.04,No
CUST-443,Female,0,56,43.2,2419.2000000000003,Yes
CUST-444,Female,0,38,32.11,1220.18,Yes
CUST-445,Male,0,11,20.61,226.70999999999998,Yes
CUST-446,Male,0,67,70.79,4742.93,Yes
CUST-447,Female,0,15,119.83,1797.45,No
CUST-448,Male,0,1,89.5,89.5,No
CUST-449,Female,1,7,50.84,355.88,No
CUST-450,Female,1,1,107.69,107.69,No
CUST-451,Female,0,49,98.17,4810.33,Yes
CUST-452,Female,0,29,21.54,624.66,No
CUST-453,Female,0,26,101.69,2643.94,Yes
CUST-454,Male,1,45,50.05,2252.25,No
CUST-455,Male,0,71,34.97,2482.87,No
CUST-456,Female,0,12,42.63,511.56000000000006,No
CUST-457,Female,1,32,66.86,2139.52,No
CUST-458,Male,0,20,62.49,1249.8,Yes
CUST-459,Male,1,51,48.89,2493.39,No
CUST-460,Female,0,36,37.22,1339.92,Yes
CUST-461,Male,0,67,96.22,6446.74,Yes
CUST-462,Female,0,1,119.01,119.01,No
CUST-463,Male,1,27,97.78,2640.06,Yes
CUST-464,Female,1,40,49.59,1983.6000000000001,No
CUST-465,Male,0,14,44.48,622.7199999999999,No
CUST-466,Female,0,69,41.77,2882.13,No
CUST-467,Male,0,6,33.67,202.02,Yes
CUST-468,Male,1,33,75.13,2479.29,No
CUST-469,Female,0,55,80.54,4429.700000000001,No
CUST-470,Male,0,19,90.55,1720.45,No
CUST-471,Female,0,29,88.02,2552.58,No
CUST-472,Male,0,61,49.23,3003.0299999999997,No
CUST-473,Female,0,70,53.03,3712.1,No
CUST-474,Male,0,24,88.15,2115.6000000000004,No
CUST-475,Female,0,23,54.94,1263.62,Yes
CUST-476,Male,1,10,41.26,412.59999999999997,No
CUST-477,Female,0,54,57.43,3101.22,No
CUST-478,Male,0,41,47.21,1935.6100000000001,No
CUST-479,Female,1,49,28.83,1412.6699999999998,Yes
CUST-480,Female,0,17,103.01,1751.17,No
CUST-481,Female,0,56,105.31,5897.360000000001,No
CUST-482,Male,0,45,41.98,1889.1,No
CUST-483,Female,1,30,26.48,794.4,Yes
CUST-484,Male,0,44,93.88,4130.719999999999,No
CUST-485,Female,1,55,41.15,2263.25,No
CUST-486,Male,0,19,59.34,1127.46,No
CUST-487,Female,0,29,26.41,765.89,No
CUST-488,Male,0,2,42.63,85.26,No
CUST-489,Male,1,36,99.29,3574.44,No
CUST-490,Female,0,19,100.44,1908.36,No
CUST-491,Male,1,7,40.71,284.97,Yes
CUST-492,Male,0,26,53.59,1393.3400000000001,No
CUST-493,Female,0,38,33.42,1269.96,Yes
CUST-494,Male,0,3,27.42,82.26,Yes
CUST-495,Male,1,66,119.22,7868.5199999999995,No
CUST-496,Male,0,71,85.56,6074.76,No
CUST-497,Female,0,43,74.21,3191.0299999999997,No
CUST-498,Male,0,62,96.55,5986.099999999999,No
CUST-499,Female,1,71,104.01,7384.71,No
CUST-500,Male,0,24,100.67,2416.08,Yes
CUST-501,Male,0,39,21.65,844.3499999999999,No
CUST-502,Male,0,68,38.68,2630.24,No
CUST-503,Female,0,44,85.49,3761.56,Yes
CUST-504,Male,0,5,57.58,287.9,No
CUST-505,Male,1,55,118.25,6503.75,No
CUST-506,Female,1,30,86.54,2596.2000000000003,No
CUST-507,Male,0,29,115.65,3353.8500000000004,No
CUST-508,Female,0,26,40.14,1043.64,Yes
CUST-509,Female,0,26,106.4,2766.4,No
CUST-510,Male,0,37,52.14,1929.18,Yes
CUST-511,Female,0,53,118.96,6304.88,No
CUST-512,Male,0,30,35.77,1073.1000000000001,Yes
CUST-513,Female,0,3,71.63,214.89,No
CUST-514,Female,0,43,99.28,4269.04,No
CUST-515,Male,0,7,63.26,442.82,No
CUST-516,Female,0,49,66.81,3273.69,No
CUST-517,Female,0,41,118.64,4864.24,No
CUST-518,Female,0,54,62.53,3376.62,No
CUST-519,Female,0,69,80.41,5548.29,No
CUST-520,Female,0,27,25.45,687.15,No
CUST-521,Male,0,8,104.22,833.76,No
CUST-522,Female,0,32,84.82,2714.24,No
CUST-523,Male,0,64,60.4,3865.6,No
CUST-524,Female,0,10,21.62,216.20000000000002,Yes
CUST-525,Male,0,13,79.17,1029.21,No
CUST-526,Male,1,63,21.27,1340.01,No
CUST-527,Female,0,35,20.12,704.2,No
CUST-528,Female,0,61,81.61,4978.21,No
CUST-529,Female,0,54,38.9,2100.6,No
CUST-530,Male,0,8,39.19,313.52,No
CUST-531,Female,0,29,85.33,2474.57,No
CUST-532,Male,0,41,25.37,1040.17,No
CUST-533,Male,0,30,51.34,1540.2,No
CUST-534,Male,0,21,34.94,733.74,No
CUST-535,Female,0,11,78.02,858.2199999999999,No
CUST-536,Female,0,2,86.18,172.36,Yes
CUST-537,Male,1,50,92.11,4605.5,No
CUST-538,Male,0,41,45.52,1866.3200000000002,No
CUST-539,Female,0,66,28.92,1908.72,No
CUST-540,Male,0,3,27.87,83.61,No
CUST-541,Female,1,51,62.62,3193.62,No
CUST-542,Male,0,68,114.58,7791.44,No
CUST-543,Female,0,25,41.77,1044.25,No
CUST-544,Male,0,30,45.67,1370.1000000000001,No
CUST-545,Female,0,11,30.09,330.99,No
CUST-546,Male,0,17,80.56,1369.52,No
CUST-547,Female,0,26,87.99,2287.74,No
CUST-548,Female,0,23,84.29,1938.67,No
CUST-549,Male,0,56,106.11,5942.16,No
CUST-550,Male,0,52,68.64,3569.28,No
CUST-551,Female,0,48,33.45,1605.6000000000001,Yes
CUST-552,Male,0,20,48.94,978.8,No
CUST-553,Female,0,2,86.24,172.48,No
CUST-554,Male,0,31,81.31,2520.61,No
CUST-555,Female,1,27,73.1,1973.6999999999998,Yes
